================================================================================
  Auto-patterns benchmark: detailed breakdown
================================================================================

Metric                   Baseline         Head           Delta
-----------------------------------------------------------------
Wall time (s)               809.6        839.0      +29.4 (+3.6%)
Z3 time (s)                1454.5       1724.4     +269.9 (+18.6%)
Z3 rlimit                  2776.6       2642.0     -134.6 (-4.8%)
Queries                     25889        25864        -25 (-0.1%)

==============================================================================================================
  Per-module breakdown (sorted by rlimit delta)
==============================================================================================================

Module                                       BQ     HQ      DQ      BRlim     HRlim   DRlim(%)    BZ3(s)   HZ3(s)
Bug1270                                       2      2      +0        0.0       0.0      +0.0%       0.2      0.2
Bug1271                                       1      1      +0        0.0       0.0      +0.0%       0.3      0.4
Bug1299                                       2      2      +0        0.0       0.0      +0.0%       0.1      0.2
Bug13                                         2      2      +0        0.0       0.0      +0.0%       0.2      0.2
Bug1319b                                      1      1      +0        0.0       0.0      +0.0%       0.1      0.2
Bug1341                                       1      1      +0        0.0       0.0      +0.0%       0.2      0.4
Bug1345b                                      1      1      +0        0.0       0.0      +0.0%       0.1      0.1
Bug1348                                       1      1      +0        0.0       0.0      +0.0%       0.3      0.2
Bug1361                                       2      2      +0        0.0       0.0      +0.0%       0.5      0.5
Bug1362                                       5      5      +0        0.1       0.1      +0.0%       0.4      0.4
Bug137                                        3      3      +0        0.0       0.0      +0.0%       0.2      0.2
Bug1370a                                      1      1      +0        0.0       0.0      +0.0%       0.2      0.1
Bug1370b.Good4                                1      1      +0        0.0       0.0      +0.0%       0.2      0.2
Bug138                                        4      4      +0        0.0       0.0      +0.0%       0.2      0.2
Bug1390                                       2      2      +0        0.0       0.0      +0.0%       0.4      0.6
Bug1414                                       6      6      +0        0.0       0.0      +0.0%       0.3      0.3
Bug1418                                       5      5      +0        0.0       0.0      +0.0%       0.5      0.4
Bug1423                                       1      1      +0        0.0       0.0      +0.0%       0.2      0.3
Bug1427                                       1      1      +0        0.0       0.0      +0.0%       0.3      0.3
Bug143                                        3      3      +0        0.0       0.0      +0.0%       0.2      0.2
Bug1449                                       1      1      +0        0.0       0.0      +0.0%       0.2      0.2
Bug1470                                       3      3      +0        0.0       0.0      +0.0%       0.8      0.8
Bug1480                                      14     14      +0        0.1       0.1      +0.0%       0.2      0.3
